측정일시,SO2,CO,O3,NO2,PM10,PM25
2021100324,0.00136,0.29,0.0481,0.00564,38.2,14.5
2021100401,0.00146,0.3111111111111111,0.0481,0.00584,37.6,14.7
2021100402,0.0015600000000000002,0.3,0.0496,0.004350000000000001,40.2,13.8
2021100403,0.0015699999999999998,0.27,0.0493,0.0036999999999999997,39.7,13.8
2021100404,0.00167,0.26,0.0477,0.00369,37.5,15.3
2021100405,0.0015699999999999998,0.25,0.046099999999999995,0.004,40.1,15.0
2021100406,0.00136,0.27,0.043,0.0061600000000000005,41.6,17.6
2021100407,0.00136,0.30000000000000004,0.040900000000000006,0.00853,42.5,15.9
2021100408,0.00148,0.27,0.038900000000000004,0.01052,45.9,16.2
2021100409,0.0015,0.27999999999999997,0.0438,0.00902,47.5,14.8
2021100410,0.00183,0.27999999999999997,0.0492,0.006910000000000001,49.8,16.9
2021100411,0.00236,0.29,0.0509,0.006619999999999999,58.5,19.9
2021100412,0.00228,0.29,0.0526,0.005900000000000001,56.2,19.2
2021100413,0.00194,0.30000000000000004,0.052500000000000005,0.00544,46.7,15.8
2021100414,0.0018100000000000002,0.27,0.0521,0.00594,49.4,15.6
2021100415,0.00172,0.25,0.052500000000000005,0.00557,46.2,14.5
2021100416,0.00148,0.27,0.0522,0.00629,44.4,14.6
2021100417,0.00146,0.27,0.052000000000000005,0.007430000000000001,41.9,14.7
2021100418,0.0015600000000000002,0.27,0.0499,0.00834,41.3,14.4
2021100419,0.00155,0.30000000000000004,0.0446,0.010620000000000001,49.5,19.3
2021100420,0.00125,0.32,0.0375,0.011980000000000001,47.4,20.6
2021100421,0.00125,0.31,0.0364,0.01115,44.4,17.8
2021100422,0.00126,0.3,0.0386,0.00934,38.7,14.4
2021100423,0.00126,0.3,0.0374,0.00932,36.111111111111114,15.2
2021100424,0.00116,0.27,0.040999999999999995,0.00636,34.8,13.8
2021100501,0.00106,0.2666666666666667,0.040999999999999995,0.00559,32.3,13.7
2021100502,0.0010500000000000002,0.26,0.039400000000000004,0.0061600000000000005,31.1,12.7
2021100503,0.00115,0.24,0.0388,0.00581,29.4,11.1
2021100504,0.00125,0.25,0.0349,0.00689,30.9,12.5
2021100505,0.00116,0.26,0.0344,0.00621,30.9,11.0
